CYCK   06 24 044
CYCL   12 30 105
CYCN   13 31 119
CYCO   12T30T121
CYCP   01 19 032
CYCQ   05 23 072
CYCT   11 29 128
CYCW   07 25 081
CYCY   02T20T018
CYCZ   16 34 171
CYDA   03 21 049
CYDB   11 29 128
CYDC   04 22 050
CYDF   07 25 048
CYDL   02 20 048
CYDN   14 32 150
CYDN   08 26 090
CYDN   02 20 029
CYDO   11 29 094
CYDQ   07 25 085
CYEE   16 34 150
CYEG   02 20 034
CYEG   12 30 135
CYEK   15T33T149
CYEL   12 30 112
CYEM   02 20 012
CYEN   08 26 090
CYEN   15 33 158
CYES   16 34 140
CYET   07 25 091
CYEU   10T28T104
CYEV   06 24 086
CYEY   14 32 128
CYFA   10 28 098
CYFB   16 34 137
CYFC   09 27 071
CYFC   15 33 131
CYFD   05 23 044
CYFD   11 29 099
CYFD   17 35 165
CYFE   09 27 070
CYFJ   02 20 011
CYFO   19 01 192
CYFR   13 31 143
CYFS   14 32 156
CYGB   14 32 158
CYGD   14 32 122
CYGD   10 28 092
CYGD   05 23 030
CYGE   14 32 161
CYGH   07 25 092
CYGK   01 19 356
CYGK   07 25 054
CYGL   13 31 113
CYGM   15 33 150
CYGP   10 28 084
CYGQ   08 26 072
CYGR   07 25 053
CYGR   16 34 139
CYGV   08 26 063
CYHB   06 24 068
CYHD   12 30 114
CYHF   04 22 033
CYHI   06T24T062
CYHK   13T31T127
CYHM   12 30 107
CYHM   06 24 049
CYHN   07 25 059
CYHR   07 25 076
CYHS   01 19 000
CYHS   09 27 081
CYHU   06L24R047
CYHU   06R24L047
CYHU   10 28 084
CYHY   14 32 154
CYHY   05 23 066
CYHZ   05 23 035
CYHZ   14 32 126
CYIB   04 22 039
CYID   06 24 043
CYIF   01 19 353
CYIK   07 25 051
CYIO   02T20T023
CYIV   12 30 123
CYJF   03 21 048
CYJM   10 28 124
CYJN   11 29 090
CYJN   06 24 045
CYJN   02 20 000
CYJT   09 27 072
CYJT   02 20 356
CYKA   09 27 103
CYKA   05 23 061
CYKD   13 31 156
CYKF   08 26 075
CYKF   14 32 138
CYKG   14 32 121
CYKL   17 35 149
CYKM   13 31 121
CYKM   05 23 042
CYKO   08 26 063
CYKQ   06 24 062
CYKX   08 26 071
CYKY   08 26 090
CYKY   17 35 180
CYLB   11 29 129
CYLD   10 28 092
CYLD   05 23 039
CYLI   14 32 162
CYLJ   09 27 100
CYLJ   17 35 179
CYLL   08 26 090
CYLL   11 29 122
CYLQ   01 19 353
CYLR   18 36 183
CYLS   10 28 089
CYLT   05T23T048
CYLW   16 34 175
CYMA   07 25 090
CYME   09 27 071
CYMG   05 23 042
CYMJ   11L29R118
CYMJ   11R29L118
CYMJ   03 21 044
CYML   14 32 127
CYMM   08 26 090
CYMO   06 24 043
CYMO   14 32 127
CYMT   04 22 028
CYMW   03 21 017
CYMX   06 24 045
CYMX   11 29 098
CYMY   10 28 100
CYNA   14 32 118
CYNC   10 28 095
CYND   09 27 075
CYNE   06 24 060
CYNH   05 23 074
CYNM   15 33 134
CYOC   04 22 061
CYOD   13L31R143
CYOD   13R31L143
CYOD   04 22 052
CYOJ   13 31 154
CYOO   12 30 109
CYOO   05 23 035
CYOP   09 27 110
CYOS   18 36 170
CYOW   14 32 126
CYOW   07 25 057
CYOW   04 22 026
CYPA   08 26 091
CYPA   16 34 170
CYPC   02T20T020
CYPD   11 29 090
CYPE   04 22 061
CYPG   13R31L133
CYPG   13L31R134
CYPG   02 20 019
CYPG   09 27 089
CYPK   08R26L096
CYPK   08L26R095
CYPK   18 36 202
CYPL   09 27 090
CYPN   11 29 090
CYPO   11 29 108
CYPQ   09 27 076
CYPQ   13 31 118
CYPR   13 31 152
CYPS   06 24 083
CYPT   10 28 090
CYPT   19 01 179
CYPU   05 23 067
CYPW   09 27 119
CYPX   01 19 343
CYPY   04 22 051
CYPZ   11 29 137
